,url
15,"['royal', 'palm', 'beach', '2019', 'ram-1500-big-horn']"
383,"['new', 'castle', '2019', 'nissan', 'sentra-cvt-gun']"
469,"['vicksburg', '2019', 'chevrolet', 'silverado']"
484,"['new', 'castle', '2018', 'jeep', 'compass-latitude']"
849,"['new', 'castle', '2018', 'toyota', 'highlander-xle']"
938,"['vicksburg', '2019', 'ford', 'super', 'duty-350-drw']"
1001,"['new', 'castle', '2020', 'volvo', 's60-t6-awd']"
1056,"['new', 'castle', '2020', 'mercedes', 'benz-class-220']"
1104,"['new', 'castle', '2018', 'jeep', 'wrangler-unlimited']"
1198,"['new', 'castle', '2018', 'mercedes', 'benz-gls-gls']"
1378,"['new', 'castle', '2019', 'nissan', 'frontier-king']"
1431,"['vicksburg', '2018', 'ford', 'transit', 'passenger']"
1438,"['vicksburg', '2019', 'nissan', 'nv200', 'compact']"
1439,"['vicksburg', '2018', 'ford', 'super', 'duty-350-drw']"
1444,"['vicksburg', '2019', 'chevrolet', 'silverado']"
1751,"['vicksburg', '2018', 'chevrolet', 'silverado', '1500']"
1840,"['new', 'castle', '2019', 'nissan', 'sentra-cvt-gun']"
1868,"['vicksburg', '2018', 'ford', 'super', 'duty-550-drw']"
2004,"['new', 'castle', '2018', 'ford', '150-raptor-4wd']"
2105,"['new', 'castle', '2019', 'jeep', 'wrangler-unlimited']"
2823,"['nashville', '2018', 'chevrolet', 'camaro', 'hot']"
2870,"['nashville', '2018', 'ford', 'ford', '150-crew-xlt']"
2875,"['nashville', '2019', 'chevrolet', 'colorado', 'zr2']"
3004,"['nashville', '2018', 'jeep', 'grand', 'cherokee-2018']"
3032,"['new', 'castle', '2019', 'nissan', 'sentra-cvt-gun']"
3096,"['nashville', '2019', 'ford', 'mustang', '2019-ford']"
3101,"['new', 'castle', '2018', 'jeep', 'compass-latitude']"
3314,"['new', 'castle', '2018', 'toyota', 'highlander-xle']"
3334,"['nashville', '2020', 'chevrolet', 'suburban', '2020']"
3384,"['nashville', '2020', 'volkswagen', 'atlas', '2020']"
3395,"['nashville', '2020', 'volkswagen', 'passat', '2020']"
3416,"['new', 'castle', '2020', 'volvo', 's60-t6-awd']"
3491,"['new', 'castle', '2020', 'mercedes', 'benz-class-220']"
3498,"['new', 'castle', '2018', 'jeep', 'wrangler-unlimited']"
3514,"['nashville', '2018', 'toyota', '4runner', '2018']"
3553,"['new', 'castle', '2018', 'mercedes', 'benz-gls-gls']"
3569,"['nashville', '2018', 'gmc', 'yukon', '2018-gmc-yukon']"
3613,"['nashville', '2018', 'ford', 'mustang', 'call']"
3676,"['new', 'castle', '2019', 'nissan', 'frontier-king']"
3734,"['nashville', '2018', 'subaru', 'wrx', 'sti-takeda']"
3941,"['new', 'castle', '2019', 'nissan', 'sentra-cvt-gun']"
4064,"['nashville', '2019', 'audi', 'a5', 'sportback-2019']"
4074,"['new', 'castle', '2018', 'ford', '150-raptor-4wd']"
4124,"['new', 'castle', '2019', 'jeep', 'wrangler-unlimited']"
4135,"['nashville', '2018', 'mercedes', 'benz', 'cla-2018']"
4407,"['vicksburg', '2019', 'chevrolet', 'silverado']"
4527,"['vicksburg', '2019', 'ford', 'super', 'duty-350-drw']"
4791,"['vicksburg', '2018', 'ford', 'transit', 'passenger']"
4795,"['vicksburg', '2019', 'nissan', 'nv200', 'compact']"
4796,"['vicksburg', '2018', 'ford', 'super', 'duty-350-drw']"
4802,"['vicksburg', '2019', 'chevrolet', 'silverado']"
4934,"['vicksburg', '2018', 'chevrolet', 'silverado', '1500']"
4966,"['vicksburg', '2019', 'ford', '150', '4x4-50l-v8-crew']"
4967,"['vicksburg', '2018', 'ford', 'super', 'duty-550-drw']"
4968,"['vicksburg', '2018', 'ford', 'super', 'duty-550-drw']"
5553,"['vicksburg', '2019', 'nissan', 'nv200', 'compact']"
5554,"['vicksburg', '2018', 'ford', 'super', 'duty-350-drw']"
5555,"['vicksburg', '2019', 'chevrolet', 'silverado']"
5573,"['vicksburg', '2018', 'chevrolet', 'silverado', '1500']"
5578,"['vicksburg', '2019', 'ford', '150', '4x4-50l-v8-crew']"
5579,"['vicksburg', '2018', 'ford', 'super', 'duty-550-drw']"
6503,"['anchorage', '2020', 'ram', '3500', 'tradesman-4x4']"
8014,"['anchorage', '2019', 'chevrolet', 'suburban', '4wd']"
8322,"['anchorage', '2019', 'ford', 'transit', 'van-250-low']"
10518,"['lake', 'havasu', 'city', '2019', 'dodge-journey-se']"
10535,"['lake', 'havasu', 'city', '2019', 'jeep-renegade']"
10540,"['lake', 'havasu', 'city', '2019', 'chrysler-300']"
10553,"['lake', 'havasu', 'city', '2019', 'jeep-renegade']"
10639,"['lake', 'havasu', 'city', '2019', 'gmc-acadia-fwd']"
10659,"['lake', 'havasu', 'city', '2019', 'ford-ranger']"
10703,"['lake', 'havasu', 'city', '2019', 'ram-1500-laramie']"
10720,"['lake', 'havasu', 'city', '2019', 'ram-1500-laramie']"
10741,"['lake', 'havasu', 'city', '2018', 'ford-focus-se']"
10762,"['lake', 'havasu', 'city', '2019', 'volkswagen-passat']"
10766,"['lake', 'havasu', 'city', '2018', 'nissan-rogue-fwd']"
10772,"['lake', 'havasu', 'city', '2018', 'nissan-rogue-fwd']"
10775,"['lake', 'havasu', 'city', '2018', 'gmc-acadia-fwd']"
10828,"['lake', 'havasu', 'city', '2018', 'toyota-corolla-cvt']"
10838,"['lake', 'havasu', 'city', '2020', 'chevrolet-malibu']"
10852,"['lake', 'havasu', 'city', '2018', 'dodge-journey-sxt']"
10865,"['lake', 'havasu', 'city', '2018', 'hyundai-elantra']"
10870,"['lake', 'havasu', 'city', '2019', 'toyota-camry-xse']"
10878,"['lake', 'havasu', 'city', '2019', 'gmc-sierra-wd']"
10882,"['lake', 'havasu', 'city', '2020', 'toyota-corolla-le']"
10888,"['lake', 'havasu', 'city', '2019', 'ford-expedition']"
