,model
f-150,6500
silverado 1500,4587
1500,3250
camry,3029
accord,2730
altima,2586
escape,2569
civic,2557
tacoma,2157
silverado,2151
corolla,2097
explorer,2066
wrangler,2023
grand cherokee,1991
mustang,1970
equinox,1960
fusion,1945
malibu,1876
focus,1876
cr-v,1811
grand caravan,1673
tahoe,1648
2500,1639
sonata,1513
elantra,1498
cruze,1461
rav4,1445
impala,1426
sentra,1408
jetta,1367
prius,1349
odyssey,1335
charger,1276
rogue,1274
sierra 1500,1273
outback,1256
silverado 2500hd,1248
edge,1200
f-250,1156
pilot,1135
forester,1119
wrangler unlimited,1101
camaro,1098
tundra,1090
highlander,1065
traverse,1050
f-350,1047
sienna,1019
suburban,967
soul,965
sierra,964
corvette,919
c-class,895
passat,880
cherokee,879
3500,876
wrangler unlimited sport s,855
acadia,852
f150 supercrew cab xlt,846
journey,840
4runner,827
optima,813
challenger,788
impreza,785
taurus,775
tacoma double cab sr5,764
colorado,762
expedition,743
durango,739
murano,739
f150,724
300,712
escalade,707
pathfinder,662
200,660
3 series,658
sorento,658
fusion se,655
maxima,654
town & country,648
santa fe,641
corvette grand sport,630
mdx,622
enclave,619
f-250 super duty,609
patriot,603
ranger,601
x5,593
focus se,582
yukon,579
a4,575
liberty,572
terrain,571
camry le,551
versa,546
mustang gt premium coupe 2d,541
compass,537
yukon xl,532
silverado 1500 double,530
mazda3,520
mx-5 miata club,510
sierra 2500hd,503
wrangler unlimited sport,498
e-class,496
legacy,493
fiesta,491
silverado 1500 regular,490
cts,488
srx,480
forte,477
mustang gt premium,473
civic lx,466
silverado 1500 crew,465
express cargo van,460
fit,458
e-class e 350,450
frontier,448
accent,447
corolla le,441
tl,438
x3,437
avalon,436
lacrosse,435
tucson,435
wrangler unlimited sahara,435
beetle 2.5l hatchback,434
328i,424
f150 supercrew cab,424
sierra 1500 double cab sle,424
dakota,422
equinox lt,420
ranger supercrew xlt pickup,419
sportage,416
renegade,410
m3 convertible 2d,408
malibu lt,408
1500 classic crew cab slt,401
challenger r/t scat pack,401
town and country,390
rx 350,388
f-350 super duty,382
3,382
transit,382
grand caravan sxt,377
f150 regular cab xl pickup,376
super duty f-350 srw,376
flex,375
titan,372
encore,366
grand cherokee limited,365
trailblazer,362
tiguan,359
altima 2.5 s,356
cobalt,355
f250 super duty crew cab,353
silverado 1500 lt,353
silverado 3500hd,352
es 350,349
explorer xlt,348
f250,343
